id,latitude_after,longitude_after,status_group,latitude_before,longitude_before,latitude_diff,longitude_diff
6091,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
32376,-1.400181875,31.485073980000003,non functional,-2e-08,,-1.4001818549999998,
72678,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
56725,-2.889175355,34.09756337,non functional,-2e-08,,-2.889175335,
13042,-2.58923342,33.36069447,functional needs repair,-2e-08,,-2.5892334,
33500,-1.400181875,31.485073980000003,non functional,-2e-08,,-1.4001818549999998,
71487,-2.58923342,33.36069447,functional,-2e-08,,-2.5892334,
70379,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
59713,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
45415,-2.95442908,34.14372834,functional needs repair,-2e-08,,-2.9544290600000003,
51403,-2.71257284,33.65878023,non functional,-2e-08,,-2.71257282,
7900,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
32089,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
59310,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
51220,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
20625,-2.95442908,34.14372834,functional needs repair,-2e-08,,-2.9544290600000003,
27128,-2.58923342,33.36069447,non functional,-2e-08,,-2.5892334,
19409,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
38537,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
36267,-2.95442908,34.14372834,functional needs repair,-2e-08,,-2.9544290600000003,
17287,-2.58923342,33.36069447,functional,-2e-08,,-2.5892334,
27799,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
51820,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
41985,-2.95442908,34.14372834,functional needs repair,-2e-08,,-2.9544290600000003,
10085,-2.95442908,34.14372834,functional needs repair,-2e-08,,-2.9544290600000003,
32543,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
32952,-2.95442908,34.14372834,non functional,-2e-08,,-2.9544290600000003,
46510,-1.400181875,31.485073980000003,non functional,-2e-08,,-1.4001818549999998,
15306,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
1678,-2.889175355,34.09756337,functional,-2e-08,,-2.889175335,
15529,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
38563,-2.58923342,33.36069447,non functional,-2e-08,,-2.5892334,
47134,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
53697,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
69542,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
11416,-2.95442908,34.14372834,non functional,-2e-08,,-2.9544290600000003,
5291,-2.58923342,33.36069447,functional,-2e-08,,-2.5892334,
5589,-2.95442908,34.14372834,non functional,-2e-08,,-2.9544290600000003,
53761,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
50957,-2.95442908,34.14372834,non functional,-2e-08,,-2.9544290600000003,
10465,-7.80773235,36.89802478,non functional,-2e-08,,-7.80773233,
40563,-3.01689777,34.05801556,non functional,-2e-08,,-3.01689775,
50709,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
32528,-1.400181875,31.485073980000003,non functional,-2e-08,,-1.4001818549999998,
18382,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
55650,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
53537,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
69773,-2.58923342,33.36069447,non functional,-2e-08,,-2.5892334,
34162,-1.32618753,34.2763392,non functional,-2e-08,,-1.3261875099999998,
56074,-1.400181875,31.485073980000003,non functional,-2e-08,,-1.4001818549999998,
42684,-1.400181875,31.485073980000003,non functional,-2e-08,,-1.4001818549999998,
36481,-2.95442908,34.14372834,non functional,-2e-08,,-2.9544290600000003,
60941,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
73565,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
38862,-2.95442908,34.14372834,functional needs repair,-2e-08,,-2.9544290600000003,
49547,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
16040,-1.32618753,34.2763392,functional,-2e-08,,-1.3261875099999998,
28287,-2.92305021,34.14372834,non functional,-2e-08,,-2.92305019,
69187,-1.400181875,31.485073980000003,non functional,-2e-08,,-1.4001818549999998,
55430,-1.400181875,31.485073980000003,non functional,-2e-08,,-1.4001818549999998,
13157,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
65190,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
15239,-1.400181875,31.485073980000003,functional needs repair,-2e-08,,-1.4001818549999998,
33862,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
73660,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
36984,-2.95442908,34.14372834,functional needs repair,-2e-08,,-2.9544290600000003,
66636,-2.95442908,34.14372834,non functional,-2e-08,,-2.9544290600000003,
37854,-3.01689777,34.05801556,functional needs repair,-2e-08,,-3.01689775,
25510,-2.95442908,34.14372834,functional needs repair,-2e-08,,-2.9544290600000003,
71699,-2.95442908,34.14372834,functional needs repair,-2e-08,,-2.9544290600000003,
24714,-2.58923342,33.36069447,functional,-2e-08,,-2.5892334,
9124,-3.01689777,34.05801556,functional,-2e-08,,-3.01689775,
46372,-1.400181875,31.485073980000003,non functional,-2e-08,,-1.4001818549999998,
38520,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
37551,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
15,-2.58923342,33.36069447,non functional,-2e-08,,-2.5892334,
65706,-2.58923342,33.36069447,non functional,-2e-08,,-2.5892334,
16162,-1.400181875,31.485073980000003,non functional,-2e-08,,-1.4001818549999998,
71677,-2.95442908,34.14372834,non functional,-2e-08,,-2.9544290600000003,
56791,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
2566,-2.889175355,34.09756337,non functional,-2e-08,,-2.889175335,
37066,-2.58923342,33.36069447,functional,-2e-08,,-2.5892334,
58343,-3.01689777,34.05801556,functional needs repair,-2e-08,,-3.01689775,
57857,-1.32618753,34.2763392,functional needs repair,-2e-08,,-1.3261875099999998,
34398,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
7045,-3.01689777,34.05801556,functional needs repair,-2e-08,,-3.01689775,
28210,-2.889175355,34.09756337,functional,-2e-08,,-2.889175335,
65188,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
26938,-1.400181875,31.485073980000003,non functional,-2e-08,,-1.4001818549999998,
49170,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
30272,-1.32618753,34.2763392,functional,-2e-08,,-1.3261875099999998,
35785,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
60730,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
50649,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
71734,-2.95442908,34.14372834,functional needs repair,-2e-08,,-2.9544290600000003,
41687,-1.400181875,31.485073980000003,non functional,-2e-08,,-1.4001818549999998,
65395,-2.95442908,34.14372834,non functional,-2e-08,,-2.9544290600000003,
73796,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
23698,-2.95442908,34.14372834,functional,-2e-08,,-2.9544290600000003,
54558,-2.95442908,34.14372834,functional needs repair,-2e-08,,-2.9544290600000003,
22868,-2.92305021,34.14372834,functional needs repair,-2e-08,,-2.92305019,
61453,-2.71257284,33.65878023,functional,-2e-08,,-2.71257282,
59075,-1.400181875,31.485073980000003,functional,-2e-08,,-1.4001818549999998,
